USER_ID	FIRSTNAME	SURNAME	GENDER	HOMETOWN	LOCATION	BDATE
1	Julius	Northam	0	101	22	06/08/1982
2	Joos	Rendell	0	139	52	02/06/1968
3	Allan	Shopland	0	56	1	26/06/1965
4	Gerrard	Bickford	0	62	100	13/03/1988
5	Christian	Strong	0	127	12	10/10/1963
6	Petros	Bracey	0	20	182	10/03/1980
7	Archilai	Pryor	0	64	10	07/08/1974
8	Bevil	Gassick	0	127	189	29/08/1986
9	Susanne	Fox	0	33	74	22/04/1979
10	Dimitri	Finch	0	52	69	09/01/1974
11	Stephen	Germon	0	120	3	19/11/1978
12	Lucretia 	Haywood	1	40	40	07/06/1976
13	Helena	Kendall	0	118	116	13/08/1969
14	Michael	Tavernor	0	52	24	14/04/1985
15	Morgan	Beare	0	68	76	29/08/1962
16	Dionisis	Etches	0	26	144	17/12/1968
17	Meredith	Blanchard	0	82	116	20/11/1982
18	Humphrey	Long	0	128	136	17/07/1964
19	Rawsone 	Carne	1	60	33	20/03/1969
20	Nasif	Ward	0	51	60	08/11/1978
21	Jerman	Beck	0	81	75	19/12/1972
22	Manasses	Clemons	0	67	40	05/03/1981
23	Matilda 	Perkins	1	16	90	02/05/1967
24	Ellena	Bidder	0	19	76	27/04/1980
25	Jenkin	Cornish	0	140	90	14/01/1988
26	Jankin	Discombe	0	17	58	27/07/1967
27	Botolph	Edwards	0	5	76	03/01/1986
28	Richard	Ackrell	0	80	77	19/02/1963
29	Susanna 	Anstey	1	82	116	20/06/1985
30	Silvio	Spencer	0	93	65	26/06/1968
31	Phillipa 	Veryard	1	96	56	26/07/1980
32	Augustin	Splatt	0	4	18	12/10/1982
33	Gkoran	Edmonds	0	133	59	23/10/1985
34	Emery	Webber	0	102	48	05/12/1989
35	Joan 	Roden	1	61	65	10/11/1976
36	Annanias	Venn	0	42	26	05/01/1970
37	Williams	Bussell	0	37	122	22/03/1980
38	Wombell	Holman	0	88	16	27/07/1981
39	Jenkin	Blithe	0	7	134	21/03/1970
40	Joshua	Clay	0	121	64	10/02/1972
41	Elizeus	Parker	0	47	60	04/04/1982
42	Christian	Rowe	0	45	58	01/11/1966
43	Marion	Preston	0	19	13	25/07/1983
44	Dionis	Fowler	0	20	16	18/10/1989
45	Owen	Diment	0	17	48	29/08/1964
46	Lucretia 	Hayne	1	110	89	08/07/1974
47	Newton	Lloyd	0	46	45	28/04/1974
48	Joos	Ferris	0	29	116	21/05/1972
49	George	Walk	0	46	52	29/12/1970
50	Giannis	Abell	0	44	135	04/04/1966
51	Jerman	May	0	15	185	11/03/1971
52	Godfrey	Cumming	0	183	27	19/10/1978
53	Pierce	Sully	0	37	145	25/12/1977
54	Griffith	Martin	0	60	16	23/04/1964
55	Pasquere	Hellier	0	171	187	12/09/1987
56	Pasco	Kingdon	0	131	72	26/02/1980
57	Charles	Whitchurch	0	71	39	29/07/1983
58	Court	Rice	0	24	24	28/02/1969
59	Eliza	Bastin	0	7	45	28/06/1978
60	Adam	Rattenbury	0	52	63	16/04/1988
61	Gabriel	Dodd	0	75	17	10/07/1985
62	Johanna	Mogridge	0	71	53	11/08/1975
63	Ambrose	Glanville	0	23	71	22/05/1971
64	Emma 	Nicholls	1	64	162	05/01/1982
65	Margerie	Bussell	0	96	88	31/12/1969
66	Emmett	Mott	0	27	73	30/03/1965
67	Magdalena	Bearne	0	21	64	25/04/1964
68	Dolora 	Rundle	1	116	17	30/12/1973
69	Francisca 	Steer	1	34	48	06/07/1987
70	Sybil 	Johnson	1	103	43	05/06/1971
71	Barnabas	England	0	23	132	05/07/1975
72	Margery 	Ward	1	102	10	25/03/1977
73	Cornelius	Full	0	60	55	10/01/1970
74	Isaac	Jervis	0	110	105	26/03/1972
75	Dionis	Greenslade	0	50	55	10/07/1968
76	Panayiotis	Parr	0	196	201	19/02/1966
77	Harman	Blackmore	0	12	44	15/09/1973
78	Joosus	Glass	0	104	12	20/02/1987
79	Xenofon	Oldridge	0	82	92	06/03/1965
80	Xristos	Joy	0	27	104	08/05/1969
81	Michael	Pook	0	25	97	20/02/1969
82	Augustine	Dennis	0	48	16	05/05/1987
83	Henry	Thompson	0	18	24	07/08/1977
84	Edwin	Isaac	0	134	70	04/12/1968
85	Katherine	Wish	0	50	81	24/01/1985
86	Morgan	Blight	0	61	79	03/03/1989
87	Edmund	New	0	1	130	13/02/1979
88	Magdalena	Pillivant	0	135	182	15/04/1980
89	Lancelot	Neck	0	76	52	02/05/1975
90	Martha 	Blee	1	11	89	26/01/1964
91	Jesper	Butterworth	0	96	14	04/03/1969
92	Melchior	Gliddon	0	4	6	12/10/1982
93	Justinian	Rice	0	94	66	22/05/1963
94	Rosanna 	Rice	1	26	104	04/02/1967
95	Anna	Kimmins	0	63	111	04/11/1971
96	Albert	Parkes	0	12	80	25/02/1981
97	Dimosthenis	Fursdon	0	39	96	21/10/1965
98	Ethelreda	Collings	0	47	80	06/02/1975
99	Halius	Wills	0	82	10	13/06/1975
100	Constance 	Beer	1	68	31	08/10/1983
